ExternOrderNo,SKU,Order Qty
2001808286,8.90422E+12,1.00
2001808207,8.90422E+12,1.00
2001808207,8.90422E+12,1.00
2001808207,8.90422E+12,1.00
2001808118,8.90422E+12,1.00
2001808118,8.90422E+12,1.00
2001808118,8.90422E+12,1.00
2001808102,8.90422E+12,2.00
2001808102,8.90422E+12,2.00
2001808102,8.90422E+12,2.00
2001808102,8.90422E+12,1.00
2001808102,8.90422E+12,1.00
2001808102,8.90422E+12,1.00
2001807981,8.90422E+12,1.00
2001807981,8.90422E+12,1.00
2001807981,8.90422E+12,1.00
2001807976,8.90422E+12,1.00
2001807976,8.90422E+12,1.00
2001807976,8.90422E+12,1.00
2001807976,8.90422E+12,1.00
2001807970,8.90422E+12,1.00
2001807970,8.90422E+12,1.00
2001807960,8.90422E+12,1.00
2001807960,8.90422E+12,1.00
2001807960,8.90422E+12,1.00
2001807960,8.90422E+12,1.00
2001807956,8.90422E+12,1.00
2001807956,8.90422E+12,1.00
2001807956,8.90422E+12,1.00
2001807956,8.90422E+12,2.00
2001807931,8.90422E+12,1.00
2001807931,8.90422E+12,1.00
2001807931,8.90422E+12,1.00
2001807930,8.90422E+12,1.00
2001807852,8.90422E+12,1.00
2001807852,8.90422E+12,1.00
2001807852,8.90422E+12,1.00
2001807814,8.90422E+12,1.00
2001807814,8.90422E+12,1.00
2001807814,8.90422E+12,1.00
2001807785,8.90422E+12,1.00
2001807785,8.90422E+12,1.00
2001807785,8.90422E+12,1.00
2001807613,8.90422E+12,1.00
2001807613,8.90422E+12,1.00
2001807613,8.90422E+12,1.00
2001807415,8.90422E+12,2.00
2001807415,8.90422E+12,1.00
2001807415,8.90422E+12,4.00
2001807362,8.90422E+12,6.00
2001807362,8.90422E+12,6.00
2001807362,8.90422E+12,2.00
2001807362,8.90422E+12,2.00
2001807362,8.90422E+12,2.00
2001807329,8.90422E+12,1.00
2001807329,8.90422E+12,1.00
2001807329,8.90422E+12,1.00
2001807328,8.90422E+12,1.00
2001807290,8.90422E+12,1.00
2001807290,8.90422E+12,1.00
2001807290,8.90422E+12,1.00
2001807241,8.90422E+12,1.00
2001807241,8.90422E+12,1.00
2001807241,8.90422E+12,1.00
2001807186,8.90422E+12,1.00
2001807186,8.90422E+12,1.00
2001807186,8.90422E+12,1.00
2001807084,8.90422E+12,1.00
2001807084,8.90422E+12,1.00
2001807084,8.90422E+12,1.00
2001807058,8.90422E+12,1.00
